molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
22,233.592812,1.789e-31,3.511e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,239.305788,7.286e-37,3.86e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,241.427336,5.944e-32,4.143e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,247.062223,9.496e-37,4.529e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,249.253485,7.707e-32,4.861e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,254.809997,3.021e-37,5.286e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,257.070988,2.439e-32,5.674e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,262.548835,3.756e-37,6.141e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,264.879571,3.016e-32,6.593e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,270.278465,1.14e-37,7.098e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,272.678963,9.105e-33,7.623e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,277.998614,1.354e-37,8.177e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,280.468893,1.074e-32,8.772e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,285.709011,3.926e-38,9.371e-11,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,288.249088,3.098e-33,1.006e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,293.409383,4.455e-38,1.07e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,296.019276,3.494e-33,1.149e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,301.099459,1.236e-38,1.218e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,303.779188,9.632e-34,1.308e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,308.778967,1.341e-38,1.381e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,311.528552,1.039e-33,1.484e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,316.447635,3.562e-39,1.561e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,319.267097,2.74e-34,1.677e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,324.105193,3.702e-39,1.759e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,326.994553,2.828e-34,1.889e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,334.71065,7.142e-35,2.122e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,342.415117,7.061e-35,2.376e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,350.107686,1.708e-35,2.654e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,357.788086,1.619e-35,2.958e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,365.456049,3.755e-36,3.287e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,373.111305,3.412e-36,3.644e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,380.753586,7.59e-37,4.03e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,388.382623,6.616e-37,4.447e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,395.998149,1.413e-37,4.899e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,403.599896,1.182e-37,5.382e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,411.187596,2.422e-38,5.901e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,418.760981,1.946e-38,6.46e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,426.319785,3.831e-39,7.059e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,433.863742,2.957e-39,7.7e-10,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1881.949441,3.674e-39,2.311e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1891.293418,4.959e-39,2.389e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1900.616119,2.628e-38,2.469e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1909.917291,3.415e-38,2.551e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1919.196678,1.742e-37,2.635e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1928.454026,2.179e-37,2.721e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1937.689078,1.07e-36,2.811e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1946.901579,1.288e-36,2.902e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1956.091271,6.082e-36,2.995e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1965.257896,7.045e-36,3.092e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1966.628494,4.218e-39,6.46e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1974.401195,3.202e-35,3.192e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1975.634647,4.49e-39,6.665e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1983.52091,3.567e-35,3.293e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1984.616333,1.875e-38,6.876e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1992.616781,1.559e-34,3.397e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,1993.573291,1.919e-38,7.091e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2001.688548,1.671e-34,3.506e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2002.505259,7.706e-38,7.313e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2010.73595,7.024e-34,3.616e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2011.411974,7.586e-38,7.541e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2019.758725,7.237e-34,3.73e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2020.293175,2.929e-37,7.775e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2028.756612,2.924e-33,3.846e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2029.148597,2.771e-37,8.014e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2037.729348,2.897e-33,3.967e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2037.977976,1.028e-36,8.259e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2046.67667,1.125e-32,4.09e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2046.781048,9.352e-37,8.516e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2055.557548,3.335e-36,8.778e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2055.598315,1.071e-32,4.217e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2064.30721,2.913e-36,9.044e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2064.494018,3.996e-32,4.346e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2073.029769,9.976e-36,9.32e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2073.363515,3.654e-32,4.48e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2080.55754,1.49e-39,1.495e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2081.724958,8.369e-36,9.603e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2082.206541,1.31e-31,4.618e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2089.073101,1.146e-39,1.54e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2090.39251,2.752e-35,9.897e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2091.02283,1.15e-31,4.758e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2097.559855,3.454e-39,1.587e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2099.032157,2.216e-35,1.02e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2099.812117,3.958e-31,4.903e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2106.01753,2.548e-39,1.636e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2107.643632,6.99e-35,1.05e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2108.574134,3.337e-31,5.053e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2114.445859,7.357e-39,1.685e-08,0.0274,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2116.226667,5.399e-35,1.082e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2117.308615,1.102e-30,5.206e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2122.844571,5.198e-39,1.737e-08,0.0291,0.2,0.029,3,4,4,4,4,797,449,448,448,448
22,2124.780993,1.633e-34,1.115e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2126.015293,8.914e-31,5.364e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2131.213395,1.437e-38,1.79e-08,0.0311,0.27,0.031,3,4,4,4,4,797,449,448,448,448
22,2133.306341,1.209e-34,1.149e-08,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2134.693899,2.824e-30,5.526e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2139.552061,9.717e-39,1.846e-08,0.0332,0.34,0.033,3,4,4,4,4,797,449,448,448,448
22,2141.802441,3.505e-34,1.184e-08,0.0274,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2143.344166,2.19e-30,5.693e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2147.860298,2.569e-38,1.904e-08,0.0354,0.41,0.035,3,4,4,4,4,797,449,448,448,448
22,2150.269023,2.485e-34,1.22e-08,0.0291,0.2,0.029,3,4,4,4,4,797,449,448,448,448
22,2151.965824,6.652e-30,5.867e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2156.137833,1.659e-38,1.965e-08,0.0375,0.47,0.037,3,4,4,4,4,797,449,448,448,448
22,2158.705818,6.894e-34,1.258e-08,0.0311,0.27,0.031,3,4,4,4,4,797,449,448,448,448
22,2160.558605,4.944e-30,6.046e-09,0.0273,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2164.384394,4.183e-38,2.028e-08,0.0396,0.52,0.04,3,4,4,4,4,797,449,448,448,448
22,2167.112553,4.675e-34,1.297e-08,0.0332,0.34,0.033,3,4,4,4,4,797,449,448,448,448
22,2169.12224,1.438e-29,6.23e-09,0.0274,0.2,0.027,3,4,4,4,4,797,449,448,448,448
22,2172.59971,2.574e-38,2.096e-08,0.0415,0.57,0.042,3,4,4,4,4,797,449,448,448,448
22,2175.488959,1.239e-33,1.337e-08,0.0354,0.41,0.035,3,4,4,4,4,797,449,448,448,448
22,2177.656457,1.023e-29,6.42e-09,0.0291,0.2,0.029,3,4,4,4,4,797,449,448,448,448
22,2180.783508,6.174e-38,2.167e-08,0.0433,0.62,0.043,3,4,4,4,4,797,449,448,448,448
22,2183.834763,8.026e-34,1.38e-08,0.0375,0.47,0.037,3,4,4,4,4,797,449,448,448,448
22,2186.160988,2.848e-29,6.62e-09,0.0311,0.27,0.031,3,4,4,4,4,797,449,448,448,448
22,2188.935514,3.605e-38,2.244e-08,0.0448,0.65,0.045,3,4,4,4,4,797,449,448,448,448
22,2192.149695,2.029e-33,1.425e-08,0.0396,0.52,0.04,3,4,4,4,4,797,449,448,448,448
22,2194.635561,1.937e-29,6.824e-09,0.0332,0.34,0.033,3,4,4,4,4,797,449,448,448,448
22,2197.055455,8.184e-38,2.327e-08,0.0463,0.68,0.046,3,4,4,4,4,797,449,448,448,448
22,2200.433481,1.252e-33,1.473e-08,0.0415,0.57,0.042,3,4,4,4,4,797,449,448,448,448
22,2203.079906,5.151e-29,7.039e-09,0.0354,0.41,0.035,3,4,4,4,4,797,449,448,448,448
22,2205.143057,4.506e-38,2.419e-08,0.0476,0.71,0.048,3,4,4,4,4,797,449,448,448,448
22,2208.685849,3.009e-33,1.522e-08,0.0433,0.62,0.043,3,4,4,4,4,797,449,448,448,448
22,2211.493751,3.345e-29,7.265e-09,0.0375,0.47,0.037,3,4,4,4,4,797,449,448,448,448
22,2213.198046,9.6e-38,2.525e-08,0.0488,0.73,0.049,3,4,4,4,4,797,449,448,448,448
22,2216.906527,1.761e-33,1.577e-08,0.0448,0.65,0.045,3,4,4,4,4,797,449,448,448,448
22,2219.876825,8.48e-29,7.5e-09,0.0396,0.52,0.04,3,4,4,4,4,797,449,448,448,448
22,2221.220147,4.925e-38,2.649e-08,0.0499,0.74,0.05,3,4,4,4,4,797,449,448,448,448
22,2225.095241,4.005e-33,1.635e-08,0.0463,0.68,0.046,3,4,4,4,4,797,449,448,448,448
22,2228.228855,5.242e-29,7.748e-09,0.0415,0.57,0.042,3,4,4,4,4,797,449,448,448,448
22,2229.209086,9.671e-38,2.803e-08,0.0512,0.75,0.051,3,4,4,4,4,797,449,448,448,448
22,2233.251717,2.209e-33,1.7e-08,0.0476,0.71,0.048,3,4,4,4,4,797,449,448,448,448
22,2236.54957,1.263e-28,8.012e-09,0.0433,0.62,0.043,3,4,4,4,4,797,449,448,448,448
22,2237.164588,4.496e-38,3.011e-08,0.0525,0.76,0.052,3,4,4,4,4,797,449,448,448,448
22,2241.375683,4.714e-33,1.774e-08,0.0488,0.73,0.049,3,4,4,4,4,797,449,448,448,448
22,2244.838696,7.407e-29,8.298e-09,0.0448,0.65,0.045,3,4,4,4,4,797,449,448,448,448
22,2245.086377,7.767e-38,3.335e-08,0.0542,0.76,0.054,3,4,4,4,4,797,449,448,448,448
22,2249.466863,2.422e-33,1.862e-08,0.0499,0.74,0.05,3,4,4,4,4,797,449,448,448,448
22,2252.974178,2.986e-38,3.989e-08,0.0562,0.77,0.056,3,4,4,4,4,797,449,448,448,448
