molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
7,6.5e-05,6.861e-40,2.909e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.5e-05,7.914e-37,2.829e-23,0.0347,0.72,0.034,6,5,2,2,5,860,305,858,876,865
7,6.5e-05,8.25e-43,2.938e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.5e-05,9.393e-35,4.145e-23,0.057,0.97,0.057,6,5,6,2,6,860,305,858,876,865
7,6.6e-05,1.436e-34,3.832e-23,0.0514,0.72,0.052,6,5,6,2,6,860,305,858,876,865
7,6.6e-05,7.622e-45,2.995e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,1.261e-34,3.473e-23,0.0417,0.72,0.043,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,1.555e-34,3.505e-23,0.0431,0.72,0.044,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,1.581e-35,3.397e-23,0.0354,0.72,0.038,6,5,2,2,6,860,305,858,876,865
7,6.7e-05,1.659e-41,3.351e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,1.707e-37,3.362e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,1.746e-34,3.713e-23,0.0481,0.72,0.048,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,1.773e-34,3.548e-23,0.0444,0.72,0.045,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,1.853e-34,3.613e-23,0.046,0.72,0.046,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,2.097e-43,3.348e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,2.142e-36,3.375e-23,0.0348,0.72,0.035,6,5,2,2,5,860,305,858,876,865
7,6.7e-05,2.331e-40,3.352e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,2.372e-38,3.358e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,2.628e-39,3.354e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,2.724e-35,3.405e-23,0.0356,0.72,0.039,6,5,2,2,6,860,305,858,876,865
7,6.7e-05,4.078e-42,3.349e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,4.204e-37,3.366e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,4.39e-44,3.349e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,4.409e-35,3.417e-23,0.037,0.72,0.04,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,4.428e-36,3.381e-23,0.035,0.72,0.036,6,5,2,2,5,860,305,858,876,865
7,6.7e-05,6.39e-41,3.351e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,6.547e-38,3.36e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,6.693e-35,3.431e-23,0.0389,0.72,0.041,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,8.045e-40,3.352e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,8.119e-39,3.356e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,8.623e-36,3.388e-23,0.0352,0.72,0.037,6,5,2,2,6,860,305,858,876,865
7,6.7e-05,9.499e-43,3.349e-23,0.0346,0.72,0.034,6,5,2,2,2,860,305,858,876,865
7,6.7e-05,9.51e-35,3.45e-23,0.0404,0.72,0.042,6,5,6,2,6,860,305,858,876,865
7,6.7e-05,9.772e-37,3.371e-23,0.0347,0.72,0.034,6,5,2,2,5,860,305,858,876,865
7,1.59875229,1.251e-31,4.417e-10,0.0346,0.72,0.034,6,4,2,2,2,1179,855,858,876,865
7,1.61564802,4.407e-31,4.56e-10,0.0346,0.72,0.034,6,4,2,2,2,1179,855,858,876,865
7,1.63257953,1.468e-30,4.705e-10,0.0346,0.72,0.034,6,4,2,2,2,1179,855,858,876,865
7,1.6495513,4.623e-30,4.853e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.66656866,1.376e-29,5.005e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.68363807,3.869e-29,5.16e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.70076739,1.027e-28,5.317e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.70481293,5.892e-32,5.356e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.71796638,2.574e-28,5.48e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.72201772,1.461e-31,5.519e-10,0.0346,0.72,0.034,7,4,2,2,2,1179,855,858,876,865
7,1.73524727,6.086e-28,5.647e-10,0.0347,0.72,0.034,7,4,2,2,5,1179,855,858,876,865
7,1.73930359,3.42e-31,5.688e-10,0.0347,0.72,0.034,7,4,2,2,5,1179,855,858,876,865
7,1.75262564,1.357e-27,5.82e-10,0.0348,0.72,0.035,7,4,2,2,5,1179,855,858,876,865
7,1.75668568,7.55e-31,5.858e-10,0.0348,0.72,0.035,7,4,2,2,5,1179,855,858,876,865
7,1.77012167,2.849e-27,5.994e-10,0.035,0.72,0.036,7,4,2,2,5,1179,855,858,876,865
7,1.77418366,1.572e-30,6.036e-10,0.035,0.72,0.036,7,4,2,2,5,1179,855,858,876,865
7,1.78776203,5.631e-27,6.173e-10,0.0352,0.72,0.037,7,4,2,2,6,1179,855,858,876,865
7,1.79182346,3.081e-30,6.215e-10,0.0352,0.72,0.037,7,4,2,2,6,1179,855,858,876,865
7,1.80558278,1.047e-26,6.36e-10,0.0354,0.72,0.038,8,4,2,2,6,1179,855,858,876,865
7,1.80964014,5.685e-30,6.402e-10,0.0354,0.72,0.038,7,4,2,2,6,1179,855,858,876,865
7,1.82363389,1.828e-26,6.549e-10,0.0356,0.72,0.039,8,4,2,2,6,1179,855,858,876,865
7,1.82768234,9.859e-30,6.593e-10,0.0356,0.72,0.039,7,4,2,2,6,1179,855,858,876,865
7,1.84198685,2.995e-26,6.748e-10,0.037,0.72,0.04,8,4,6,2,6,1179,855,858,876,865
7,1.84601955,1.605e-29,6.793e-10,0.037,0.72,0.04,7,4,6,2,6,1179,855,858,876,865
7,1.86074762,4.593e-26,6.953e-10,0.0389,0.72,0.041,8,4,6,2,6,1179,855,858,876,865
7,1.86475485,2.447e-29,6.998e-10,0.0389,0.72,0.041,7,4,6,2,6,1179,855,858,876,865
7,1.87679109,2.739e-26,5.844e-10,0.057,0.97,0.057,8,4,6,2,6,1179,855,858,876,865
7,1.88008054,6.577e-26,7.167e-10,0.0404,0.72,0.042,8,4,6,2,6,1179,855,858,876,865
7,1.88404804,3.486e-29,7.212e-10,0.0404,0.72,0.042,7,4,6,2,6,1179,855,858,876,865
7,1.88511641,1.431e-29,5.917e-10,0.057,0.97,0.057,7,4,6,2,6,1179,855,858,876,865
7,1.900255,8.764e-26,7.394e-10,0.0417,0.72,0.043,8,4,6,2,6,1179,855,858,876,865
7,1.90416111,4.624e-29,7.439e-10,0.0417,0.72,0.043,7,4,6,2,6,1179,855,858,876,865
